	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords	Text
1465	1465	7.0	0.1259	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Too much increase in population 
1466	1466	5.0	0.1048	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	my preferred proposal was in function of the density percentage 
1467	1467	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Depends on whether I agree
1468	1468	2.0	0.1282	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Level of affordable housing; climate change emissions; investor background
1469	1469	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I think there are already too many flats being built
1470	1470	7.0	0.1212	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Anything over 20% increase in density changes an area too much
1471	1471	5.0	0.1469	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I find that my area is already very busy and lots of people around.  So I would only want 20% increase and we need to be more environmentally concious, so there needs to be stipulations in place.  Then I would go with a local or government for profit company, not international.
1472	1472	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	its helpful and good
1473	1473	2.0	0.1473	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I'm more in favour of a higher proportion of affordable or social housing, and some involvement in the development.
1474	1474	2.0	0.1149	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Rent increase was a deciding factor as well as affordable housing
1475	1475	2.0	0.1066	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	more housing is badly needed
1476	1476	1.0	0.1028	climate, rent, important, cap, building, change, build, issue, neutral, mixed	some good silent points mostly towards rent issues
1477	1477	4.0	0.1237	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	We have enough residents in Upminster and don't need any more
1478	1478	8.0	0.126	area, high, environment, cost, pay, life, problem, space, quality, crime	Too much population in one place doesn't feel nice and lacks more green spaces and housing also feels congested 
1479	1479	9.0	0.1248	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rent control and population density are the deciding factors 
1480	1480	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Is better for me
1481	1481	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	this is because they are appealing
1482	1482	8.0	0.113	area, high, environment, cost, pay, life, problem, space, quality, crime	Lewisham is a crowded area as it is and I don't care for it. Why therefore this project?
1483	1483	5.0	0.1377	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I would be in favour of not for profit but with apartments and shops
1484	1484	5.0	0.1212	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I am more in favour of non profit organisations and lower densification 
1485	1485	9.0	0.1212	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	A mixture of rent control and affordable.
1486	1486	1.0	0.1088	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Climate reasons mainly
1487	1487	5.0	0.1427	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	in favour of projects that have residents input; have nothing to do with for-profit organisations of any kind; have as much affordable housing as possible; cap rents strictly to prevent the excesses of greedy landlords; aim for zero emissions to protect the climate
1488	1488	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because of my views 
1489	1489	4.0	0.117	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I made my decision based on the data I care about
1490	1490	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Various reasons 
1491	1491	4.0	0.119	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I chose the option with the least extra percent of population
1492	1492	5.0	0.1129	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I hate gentrification and being surrounded by white hipsters with all their money from mummy and daddy
1493	1493	3.0	0.1528	make, thing, development, idea, great, time, favour, densification, infrastructure, year	"Housing has become more about cramming people in for profit in what can ultimately be unsafe conditions (Grenfell), this can be a problem with any type of investor. If we could put social housing in areas where there are less of the population ""the posh areas"" it would make more availability and also put an end to class division which has manifested in boroughs and areas."
1494	1494	7.0	0.1304	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	It needs to have no rent increase, have local resident input and not increase density too much
1495	1495	8.0	0.1066	area, high, environment, cost, pay, life, problem, space, quality, crime	I like them better and thought they would do better for the environment
1496	1496	2.0	0.1046	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	people should be free to decide for themselves
1497	1497	2.0	0.1212	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I was looking more at affordable housing because that's the biggest issue in London 
1498	1498	1.0	0.1372	climate, rent, important, cap, building, change, build, issue, neutral, mixed	proposal 1 helps the community more with more apartments and fights against climate change
1499	1499	2.0	0.1066	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	looks better and suits and affordable 
1500	1500	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Too big density 
1501	1501	5.0	0.1046	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	all rent should be increased whether private or not
1502	1502	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Because they were more practical and effective
1503	1503	2.0	0.1148	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Rent control was always a big decider for me, as were affordable housing options.
1504	1504	2.0	0.1169	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	I think affordable housing minimums will decrease the value of houses in the area 
1505	1505	5.0	0.1066	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	The overall increase and for profit
1506	1506	3.0	0.118	make, thing, development, idea, great, time, favour, densification, infrastructure, year	There needs to be more affordable housing and there should be rent caps so people can feel some sense of security. Also I think people should be more involved in the infrastructure projects in their community.
1507	1507	0.0	0.1027	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	All depends on how disruptive it will be to the local area 
1508	1508	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Some proposals did not really seem convincing 
1509	1509	10.0	0.1087	people, live, city, lot, family, place, price, house, bad, property	Helping the people 
1510	1510	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I just want this neighbourhood to have good chemistry 
1511	1511	4.0	0.1186	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I liked that residents can be involved as well as the rent staying low and affordable housing being provided
1512	1512	1.0	0.1008	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I think it's important to increase housing without long term damage
1513	1513	5.0	0.1649	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I'm not in favour of increased density as it may create more problems than solutions. Also I think it's important that the government or a non-profit organisation would make investments in these projects. Any for profit organisation may be inclined to neglect any concerns and issues tenants may have. 
1514	1514	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because they had better odds over the other one
1515	1515	5.0	0.132	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I don't like when the government profits on these proposals. Also didn't want too many apartments in the area as it would put pressure on the resources around like GPs.
1516	1516	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I didn't like this survey
1517	1517	9.0	0.119	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I would like low rent costs and a trusted landlord 
1518	1518	1.0	0.1448	climate, rent, important, cap, building, change, build, issue, neutral, mixed	The climate change factor, resident input and rent cap were the biggest things I looked for
1519	1519	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Because of the drawbacks
1520	1520	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I found it unfair
1521	1521	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I think its best for the people 
1522	1522	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	im not entirely sure
1523	1523	8.0	0.1214	area, high, environment, cost, pay, life, problem, space, quality, crime	Because when I read through them I found some of the proposals wrong 
1524	1524	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because I want the best for my city
1525	1525	2.0	0.1027	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	My view is the rent and the space of the apartnent
1526	1526	8.0	0.1304	area, high, environment, cost, pay, life, problem, space, quality, crime	Many people find it very difficult to pay rent so an increase in rent every year can lead to more homeless families with young children.
1527	1527	10.0	0.1235	people, live, city, lot, family, place, price, house, bad, property	I like some of the properties to go to persons on low income 
1528	1528	2.0	0.1066	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	They all seemed like decent and equal proposals 
1529	1529	1.0	0.1131	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I think rent should be capped
1530	1530	8.0	0.1066	area, high, environment, cost, pay, life, problem, space, quality, crime	Because of additional costs
1531	1531	4.0	0.1259	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because I am stating my own opinion and this is what I believe.
1532	1532	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I'm not too sure
1533	1533	3.0	0.1148	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Development should not be for profit; density should be as low as possible; development should include more than apartments
1534	1534	9.0	0.1193	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I don't believe rent controls work.
1535	1535	8.0	0.1212	area, high, environment, cost, pay, life, problem, space, quality, crime	The increase in costs and environment issues
1536	1536	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I prefer the option
1537	1537	7.0	0.117	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Wouldn't want to increase population in this area. green spaces should be left 
1538	1538	1.0	0.1087	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I like buildings. 
1539	1539	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Because I'm not in favour
1540	1540	10.0	0.1347	people, live, city, lot, family, place, price, house, bad, property	Housing prices are becoming too high for some families with children to pay for
1541	1541	10.0	0.1087	people, live, city, lot, family, place, price, house, bad, property	For a better living
1542	1542	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	They fit my tastes better
1543	1543	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Proposal 2 is better for me
1544	1544	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I don't like certain features
1545	1545	8.0	0.1046	area, high, environment, cost, pay, life, problem, space, quality, crime	Because of the fact that the space and design
1546	1546	8.0	0.1109	area, high, environment, cost, pay, life, problem, space, quality, crime	there should be importance on making sure there are areas for low income families to feel secure in without worrying about future rent costs 
1547	1547	1.0	0.1512	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Small craft businesses are important for local community and the economy. Climate change should be considered when new buildings are being developed. There should be a rent increase cap as rent prices are too high for the average salary.
1548	1548	1.0	0.1152	climate, rent, important, cap, building, change, build, issue, neutral, mixed	All the proposals were optimal for different scenarios 
1549	1549	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Just how I feel 
1550	1550	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	because they considered everyone 
1551	1551	5.0	0.1027	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I don't want the government getting heavily involved in rent
1552	1552	8.0	0.1407	area, high, environment, cost, pay, life, problem, space, quality, crime	Double the population would cause a massive strain on our facilities such as doctors etc 
1553	1553	6.0	0.1259	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	2 proposal seems generally better than one for the community 
1554	1554	8.0	0.1066	area, high, environment, cost, pay, life, problem, space, quality, crime	Just sometimes the cost of living is too much 
1555	1555	1.0	0.1271	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Their usage and environmental factors as well as rent cap
1556	1556	6.0	0.1066	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I don't mind people
1557	1557	4.0	0.1246	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I voted for proposals which you benefit the less fortunate such as the working class, ethnic minorities and homeless people
1558	1558	8.0	0.1424	area, high, environment, cost, pay, life, problem, space, quality, crime	Adequate space and cost
1559	1559	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Because I do I guess
1560	1560	2.0	0.1066	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	carbon neutral projects
1561	1561	7.0	0.1503	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	The projects with the least population density. It is already a busy area, schools are oversubscribed, doctors have long waiting lists. There isn't the infrastructure to cope with a population increase
1562	1562	1.0	0.1216	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Climate regulation 
1563	1563	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I think the proposals all had something very convincing about them
1564	1564	8.0	0.1066	area, high, environment, cost, pay, life, problem, space, quality, crime	How much more money we would be paying. 
1565	1565	5.0	0.1212	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Agenda 21 and Kalergi Plan exposed
1566	1566	2.0	0.119	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	The control of the rent cost vs the factor of affordable housing available
1567	1567	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I think the community should have a say in decisions 
1568	1568	4.0	0.1091	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Involvement of residents in planning and implementation. Rent cap. The type of investors to reduce costs 
1569	1569	3.0	0.1046	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Because I like more of the things that the proposal I chose suggested
1570	1570	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I don't think I would have, but I like to give new things a try. 
1571	1571	10.0	0.1271	people, live, city, lot, family, place, price, house, bad, property	I agreed with the proposals that placed the people in front of the proposal and helped them with their difficulties 
1572	1572	0.0	0.1048	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I believe that density may not be best for the environment in some cases 
1573	1573	1.0	0.1148	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Climate change proposals and affordable housing should be much higher especially first time buyers!!!!!
1574	1574	2.0	0.1044	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Because I want there to still be fields 
1575	1575	8.0	0.1227	area, high, environment, cost, pay, life, problem, space, quality, crime	This is not a very rich neighbourhood, rent is important for most of the working class if it increases it may lead to problems. Global warming has become a great problem for us to be able to control this while making changes would benefit us all.
1576	1576	10.0	0.1024	people, live, city, lot, family, place, price, house, bad, property	It's just better and the price is what I'm most focused on
1577	1577	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Some had more benefits than others
1578	1578	3.0	0.1259	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Because it does make sense 
1579	1579	1.0	0.1089	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I think that the price in London is extremely expensive either way both of the solutions keep increasing the prices more than they already are 
1580	1580	4.0	0.1002	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Some are just more easier for others and sustainable
1581	1581	1.0	0.1324	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Mostly against as I want the best for my area however I feel as if these offers may be changed or may effect different individuals 
1582	1582	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because I have different opinions to others
1583	1583	1.0	0.101	climate, rent, important, cap, building, change, build, issue, neutral, mixed	rent in my borough and others such as Ilford and Barkingside is extremely high and hard to keep up with 
1584	1584	6.0	0.1	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	they are easier 
1585	1585	6.0	0.1212	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Community support and helping the environment is very important
1586	1586	9.0	0.1172	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	We are too populated already and rent controls are needed
1587	1587	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	No thanks broski 
1588	1588	4.0	0.1212	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I went against some options because they seem kinda racial profiling 
1589	1589	1.0	0.119	climate, rent, important, cap, building, change, build, issue, neutral, mixed	100% increase density is too much and there should be some climate goals set
1590	1590	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Depends of the various alternatives proposed
1591	1591	10.0	0.1212	people, live, city, lot, family, place, price, house, bad, property	some of them are so bad the price and density increase
1592	1592	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Its a neutral in my opinion 
1593	1593	10.0	0.1498	people, live, city, lot, family, place, price, house, bad, property	Some proposals have certain disadvantages for poorer families and we need to be inclusive of everyone, homelessness is a major issue in today's economy so we should be helping people to survive in a capitalist economy 
1594	1594	1.0	0.1087	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Because I think that this needs a change 
1595	1595	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Two was just better that one
1596	1596	8.0	0.1449	area, high, environment, cost, pay, life, problem, space, quality, crime	I live really close to Stratford and I know what does it mean the process of gentrification. This includes moving poorer people more out of the city, increases prices in the area and rather than actively contributing to interaction at the community level aims at having for consumers in a smaller area
1597	1597	10.0	0.1129	people, live, city, lot, family, place, price, house, bad, property	I care a lot about the climate and betterment in the world
1598	1598	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	level of density
1599	1599	6.0	0.1235	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Based on impact on community 
1600	1600	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	They seem helpful
1601	1601	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I think they are reasonable 
1602	1602	8.0	0.1148	area, high, environment, cost, pay, life, problem, space, quality, crime	Rent is already sky high...there is nothing to stop greedy landlords etc...the only way is to move out from London
1603	1603	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	It would benefit the whole community 
1604	1604	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I didn't like how some of the proposal plans look
1605	1605	1.0	0.1048	climate, rent, important, cap, building, change, build, issue, neutral, mixed	These things are important for good neighbourhood 
1606	1606	0.0	0.1212	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	because I want fairness in prices of rent and more diversity.
1607	1607	3.0	0.1169	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Always in favour of non profit and giving information to residents and public
1608	1608	9.0	0.1235	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Anything with no rent control was not acceptable to me
1609	1609	10.0	0.1363	people, live, city, lot, family, place, price, house, bad, property	People in the neighbourhood don't have a lot of money so we have to keep their best interests in mind.
1610	1610	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Sometimes it's not right
1611	1611	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	No more loss of greenery
1612	1612	2.0	0.1237	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Some of them are cheats and unreliable 
1613	1613	7.0	0.1045	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	We should not increase rent
1614	1614	7.0	0.1451	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Against massive increase in density although accept the need to build more houses. Concern with increase level of less well off people in the area and effect on crime and increase in ethnic minorities 
1615	1615	7.0	0.1212	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	The increase of 20% is the maximum increase because there will be problem over 20%.
1616	1616	6.0	0.1193	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I donÕt think it's suitable for our community 
1617	1617	0.0	0.1066	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	they work better for me and my environment 
1618	1618	3.0	0.1217	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Not in favour of projects that add substantially to densification of a quiet residential neighbourhood. New developments must be carbon-neutral or carbon offset. 
1619	1619	8.0	0.143	area, high, environment, cost, pay, life, problem, space, quality, crime	I am wary of the area getting overpopulated and the pressure on existing local services be it NHS or sewerage
1620	1620	1.0	0.1212	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Climate neutral government funded
1621	1621	9.0	0.1345	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	I am against rent controls. I support small businesses. I oppose mixing owner occupied property and council housing on same sites. Population density increase should not exceed 20%
1622	1622	10.0	0.1397	people, live, city, lot, family, place, price, house, bad, property	To make the place I live in a better place 
1623	1623	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	decreased urban areas
1624	1624	2.0	0.1	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Because some are more expensive 
1625	1625	8.0	0.1171	area, high, environment, cost, pay, life, problem, space, quality, crime	Because my area needs more restaurant chains, cinemas etc
1626	1626	1.0	0.1087	climate, rent, important, cap, building, change, build, issue, neutral, mixed	It's very important 
1627	1627	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Because they were more profitable 
1628	1628	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Because everything is changing everything day 
1629	1629	10.0	0.1046	people, live, city, lot, family, place, price, house, bad, property	I did not like the monthly increase of rent
1630	1630	0.0	0.1087	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because they seem good 
1631	1631	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I don't really know 
1632	1632	3.0	0.1027	make, thing, development, idea, great, time, favour, densification, infrastructure, year	some proposals would benefits local communities more and help with development 
1633	1633	5.0	0.1087	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	Because that is what I prefer 
1634	1634	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	It wasn't for me
1635	1635	8.0	0.121	area, high, environment, cost, pay, life, problem, space, quality, crime	Overpopulation has become a serious problem in many countries and I wouldn't want to see it happen in my area
1636	1636	9.0	0.117	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Prefer rent control and reduction of density 
1637	1637	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Some aren't the ones I rather 
1638	1638	1.0	0.1022	climate, rent, important, cap, building, change, build, issue, neutral, mixed	l don't comprehend some proposals 
1639	1639	3.0	0.1048	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Making London unliveable for lifelong residents 
1640	1640	2.0	0.1087	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	Because they are not affordable for me
1641	1641	8.0	0.1787	area, high, environment, cost, pay, life, problem, space, quality, crime	Overcrowding of areas leads to more pressure on facilities eg schools, and general rise in crime. 
1642	1642	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	because it's nicer
1643	1643	6.0	0.1087	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Im all for helping my community 
1644	1644	4.0	0.1087	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I just didnt agree with them
1645	1645	1.0	0.1192	climate, rent, important, cap, building, change, build, issue, neutral, mixed	No rent cap , different usage (not just apartments)
1646	1646	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Looked pleasing 
1647	1647	9.0	0.1271	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Has a maximum rent control as people would be prepared 
1648	1648	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Fit in with my concerns 
1649	1649	1.0	0.1087	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Just preferences 
1650	1650	10.0	0.1328	people, live, city, lot, family, place, price, house, bad, property	I believe some proposals are unfair as they are increasing the rent in places people cannot afford 
1651	1651	10.0	0.1067	people, live, city, lot, family, place, price, house, bad, property	Just because so yea gime my money
1652	1652	4.0	0.1066	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	I am environmental friendly
1653	1653	10.0	0.1235	people, live, city, lot, family, place, price, house, bad, property	Because people are more important then money.
1654	1654	1.0	0.1424	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Some of the proposals didn't take climate changes into consideration 
1655	1655	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Because it's better 
1656	1656	10.0	0.1193	people, live, city, lot, family, place, price, house, bad, property	Majority of the buildings in London needs renovating 
1657	1657	3.0	0.1087	make, thing, development, idea, great, time, favour, densification, infrastructure, year	Because I'm not interested about
1658	1658	4.0	0.1148	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	in general I think a decline in housing and personal opinions about the safety in the neighbourhood is important 
1659	1659	3.0	0.1066	make, thing, development, idea, great, time, favour, densification, infrastructure, year	don't want to be wasting money 
1660	1660	1.0	0.1324	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Climate neutral and lowest population additions top of the list.
1661	1661	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I liked them more
1662	1662	10.0	0.1151	people, live, city, lot, family, place, price, house, bad, property	It was the better option for a majority of people 
1663	1663	0.0	0.1212	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	the options I picked feel right and better for the environment 
1664	1664	0.0	0.1046	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	because it had good offers and somethings I prefer
1665	1665	10.0	0.119	people, live, city, lot, family, place, price, house, bad, property	Most of them had no rules and I like the percentage decrease on the rent side.
1666	1666	3.0	0.1457	make, thing, development, idea, great, time, favour, densification, infrastructure, year	I favoured the first proposal due to the good goals that were included and certain percentages of things made sense. I approved the climate goals in the second proposal because it eco-friendly and very safe.
1667	1667	2.0	0.1066	housing, affordable, include, percentage, accept, social, emission, requirement, amount, income	better for me understandable and affordable
1668	1668	6.0	0.1066	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Just better deals
1669	1669	0.0	0.1027	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	as they will affect the community in good or bad ways
1670	1670	6.0	0.1068	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Due to the increases and residents involvement 
1671	1671	7.0	0.1066	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Because of increase of people
1672	1672	6.0	0.1044	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	I'm not concerned to them
1673	1673	0.0	0.119	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Some of them sounded like really good ideas and fair choices but some didn't 
1674	1674	5.0	0.1008	prefer, project, investor, profit, apartment, government, business, local, mixed_use, non_profit	I prefer less increase in rent in areas of where I would live 
1675	1675	7.0	0.1149	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	I would like to see people treated fairly and equitably regardless of their wealth and resources 
1676	1676	6.0	0.115	community, favor, involvement, public, generally, increase, support, vote, low_income, offer	Had a cheaper, better and more positive outcome than the other option
1677	1677	4.0	0.1046	resident, decide, choose, option, benefit, decision, opinion, agree, base, involve	Is nice to increase the neighbourhood 
1678	1678	1.0	0.1109	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I would always vote for rent price cap 
1679	1679	8.0	0.1087	area, high, environment, cost, pay, life, problem, space, quality, crime	proposal 1 is more unique than proposal 2
1680	1680	7.0	0.1233	increase, density, population, low, percent, reduce, acceptable, double, oppose, reject	Less increase in population and the need for consultation with public
1681	1681	1.0	0.1088	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I need to know there are caps on rent increases. 
1682	1682	0.0	0.0909	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	Not really sure 
1683	1683	10.0	0.1087	people, live, city, lot, family, place, price, house, bad, property	Is better for people
1684	1684	9.0	0.1212	rent, control, factor, fair, landlord, grateful, form, key, district, maximum	Rent control is a good idea
1685	1685	1.0	0.1066	climate, rent, important, cap, building, change, build, issue, neutral, mixed	I care about climate 
1686	1686	1.0	0.119	climate, rent, important, cap, building, change, build, issue, neutral, mixed	Rent control, density, climate change
1687	1687	0.0	0.1008	good, neighborhood, feel, work, choice, reason, depend, pick, safe, rate	I decided with the proposals because I feel it would make the community a better place
